id,Stock,Beta,marketcap,trailingPE,forwardPE
404,RIO.AX,0.657,197575081984,12.92569,10.433591
405,PTBA.JK,0.099,34116984635392,5.5838614,7.821141
406,PPT.AX,1.356,2846084096,45.61818,12.482587
407,PMV.AX,0.841,5231850496,19.300001,18.748571
408,PDN.AX,1.757,4088984064,45.666668,13.7
409,PBP.AX,0.429,235837872,29.0,16.11111
410,PBAM,0.522,195307952,4.8439717,6.289135
411,ORI.AX,0.598,8876295168,28.531252,16.45045
412,ORA.TO,0.378,754876608,17.416666,4.18
413,OMVKY,1.27,15473248256,9.692622,7.9362416
414,OFX.AX,-0.019,405379392,12.538462,11.642857
415,O4B.DE,0.395,282175744,19.8,11.856287
416,NVZMY,0.475,27331993600,37.253162,27.895737
417,NVZMF,0.475,27219167232,36.411392,29.35204
418,NOD.OL,1.425,16463475712,199.53488,715.00006
419,NIBE-B.ST,1.256,105964642304,20.451363,21.809128
420,NHF.AX,0.285,3806417152,18.714287,17.086956
421,NABZY,0.862,71029866496,15.173333,11.978948
422,MURGY,0.818,65779019776,13.316075,10.555075
423,MOEX.ME,0.494,192603111424,6.898785,5.179331
424,MGAM.L,1.429,813304448,1781.25,8.196721
425,MEDI.OL,0.801,3404953088,32.804234,27.433628
426,MAL.TO,1.11,455722208,49.8125,8.389474
427,LIC.AX,1.147,1907665792,21.465754,20.35065
428,LIAB.ST,1.38,17675960320,20.776875,14.25031
429,LAS-A.TO,-0.155,1014784128,11.5947,8.740305
430,KSB.DE,0.762,1107398272,7.7756023,7.1075077
431,JM.ST,1.452,14126551040,13.6875,21.704659
432,IPL.AX,0.749,5613044736,20.642859,14.450001
433,IGO.AX,0.774,5353884672,22.093752,16.833334
434,HYDR.ME,0.192,354030616576,8.03,5.353333
435,HXGBY,1.055,31809024000,34.705883,21.454546
436,HUSQ-B.ST,1.511,52829265920,29.184711,14.012233
437,HEXA-B.ST,1.055,340110934016,34.80769,21.43824
438,HENOY,0.579,33640128512,23.595293,3.0760736
439,GUD.AX,0.522,1662561152,16.164383,12.967032
440,GMG.AX,0.865,64211279872,41.23171,28.897438
441,GEM.AX,1.058,971407232,17.142859,12.0
442,G1A.DE,0.966,6753651712,16.676596,14.148014
443,FSJ.L,0.596,131800040,6525.0,11.447369
444,FMG.AX,0.882,79129280512,8.986014,10.447155
445,ELD.AX,0.152,1476130560,14.656251,13.794118
446,DRX.TO,0.801,298005024,10.144444,7.0230775
447,DMP.AX,0.728,3945483264,64.76119,24.514124
448,CSL.AX,0.292,139138203648,37.055344,26.536406
449,COP.DE,1.017,1494895744,19.805555,10.969232
450,COIC.ST,1.439,7068669952,17.4,15.472918
451,CDD.AX,0.011,15819584,1.62,4.0499997
452,CDA.PA,1.448,681617728,7.58427,8.231708
453,BMAX.ST,1.208,2110499968,34.615387,15.5172415
454,BLY.AX,1.391,884800832,16.61111,-42.714287
455,BFG.AX,1.372,436211840,17.0,9.714286
456,BEIA-B.ST,1.395,11654709248,22.672918,16.063122
457,BAMXF,1.184,76099600384,5.830138,5.9667573
458,AZTECACPO.MX,0.752,4479054848,1.0504202,2.0833335
459,AZM.MI,1.448,3484559616,8.019108,7.9432178
460,AXAHF,1.237,84671086592,12.049681,10.650142
461,ASSA-B.ST,0.793,341120548864,25.048939,19.523205
